timestamp,session_id,categoria_busqueda,posicion,posicion_global,nombre_completo,url,precio_eur,precio_original,descuento,bodega,region,año,rating,num_reviews,categoria_calidad,tipo_vino,disponibilidad,archivo_origen,nombre_vino,pagina,posicion_pagina
2025-07-16 12:58:10,20250716_125646,Catalunya Moderna,5.0,11.0,"Alto MoncayoVeraton Garnacha 2021Campo de Borja,EspañaGood Value4,2206 valoraciones23 €",https://www.vivino.com/alto-moncayo-veraton-garnacha/w/98783?year=2021&price_id=37806466,23.0,,,Alto MoncayoVeraton,Campo de Borja,2021.0,4.22,6.0,Good Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:10,20250716_125646,Catalunya Moderna,6.0,11.0,"Castillo PereladaEmpordà Aires de Garbet 2020Empordà,EspañaGood Value4,263 valoraciones48,40 €",https://www.vivino.com/castillo-perelada-emporda-aires-de-garbet/w/3309635?year=2020&price_id=37143653,48.4,,,Castillo PereladaEmpordà,Empordà,2020.0,4.26,3.0,Good Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:10,20250716_125646,Catalunya Moderna,7.0,11.0,"AltavinsSelecció Red 2020Terra Alta,EspañaGood Value4,2132 valoraciones32,50 €",https://www.vivino.com/altavins-seleccio-red/w/7118207?year=2020&price_id=36811730,32.5,,,AltavinsSelecció Red,Terra Alta,2020.0,4.213,2.0,Good Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:10,20250716_125646,Catalunya Moderna,8.0,11.0,"Bodegas FrontonioParcela La Cerqueta Garnacha 2020Valdejalón,EspañaGood Value4,237 valoraciones54,20 €",https://www.vivino.com/frontonio-parcela-la-cerqueta-garnacha/w/9078244?year=2020&price_id=33482789,54.2,,,Bodegas FrontonioParcela,Valdejalón,2020.0,4.23,7.0,Good Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:10,20250716_125646,Catalunya Moderna,9.0,11.0,"BrecaBrega Garnacha 2020Calatayud,EspañaGood Value4,267 valoraciones32,90 €",https://www.vivino.com/breca-brega-garnacha/w/5526694?year=2020&price_id=36871459,32.9,,,BrecaBrega Garnacha,Calatayud,2020.0,4.26,7.0,Good Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:10,20250716_125646,Catalunya Moderna,10.0,11.0,"Pago Los BalancinesBarbas de gata 2018Extremadura,EspañaGood Value4,249 valoraciones30,78 €",https://www.vivino.com/pago-los-balancines-barbas-de-gata/w/8048744?year=2018&price_id=33586980,30.78,,,Pago Los,España,2018.0,4.24,9.0,Good Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,1.0,21.0,"MorcaFlor de Morca 2023Campo de Borja,EspañaAmazing Value!4,2320 valoraciones8,70 €",https://www.vivino.com/morca-flor-de-morca/w/5792926?year=2023&price_id=35810224,8.7,,,MorcaFlor,Campo de Borja,2023.0,4.232,,Amazing Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,2.0,21.0,"Bodegas CareFinca Bancales Viñas Viejas Garnacha 2021Cariñena,EspañaGreat Value4,1379 valoraciones12,66 €",https://www.vivino.com/bodegas-care-finca-bancales-vinas-viejas-garnacha/w/2427372?year=2021&price_id=38759603,12.66,,,Bodegas CareFinca,Cariñena,2021.0,4.137,9.0,Great Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,3.0,21.0,"Bodegas AtecaAtteca Garnacha (Old Vines) 2021Calatayud,EspañaGreat Value4,1355 valoraciones12,65 €",https://www.vivino.com/bodegas-ateca-atteca-garnacha-old-vines/w/1183710?year=2021&price_id=37818400,12.65,,,Bodegas AtecaAtteca,Calatayud,2021.0,4.135,5.0,Great Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,4.0,21.0,"Bodegas AtecaAtteca Garnacha (Old Vines) 2020Calatayud,EspañaGreat Value4,1608 valoraciones14,46 €",https://www.vivino.com/bodegas-ateca-atteca-garnacha-old-vines/w/1183710?year=2020&price_id=38449392,14.46,,,Bodegas AtecaAtteca,Calatayud,2020.0,4.16,8.0,Great Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,5.0,21.0,"Bodegas Paco MuleroGarnacha 2021Calatayud,EspañaGreat Value4,191 valoraciones10,90 €",https://www.vivino.com/bodegas-paco-mulero-garnacha/w/8995715?year=2021&price_id=35422551,10.9,,,Bodegas Paco,Calatayud,2021.0,4.19,1.0,Great Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,6.0,21.0,"BrecaGarnacha 2021Calatayud,EspañaGreat Value4,182 valoraciones14,10 €",https://www.vivino.com/breca-garnacha-calatayud/w/1370945?year=2021&price_id=38561559,14.1,,,BrecaGarnacha,Calatayud,2021.0,4.18,2.0,Great Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,7.0,21.0,"ParticularGarnacha Viñas Centenarias 2022Cariñena,EspañaGreat Value4,12548 valoraciones14,80 €",https://www.vivino.com/particular-es-garnacha-vinas-centenarias/w/2338003?year=2022&price_id=38799328,14.8,,,ParticularGarnacha Viñas,Cariñena,2022.0,4.1254,8.0,Great Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,8.0,21.0,"Pagos del MoncayoPrados Colección Garnacha 2021Campo de Borja,EspañaGreat Value4,1181 valoraciones14,90 €",https://www.vivino.com/pagos-del-moncayo-prados-coleccion-garnacha/w/5409799?year=2021&price_id=34084953,14.9,,,Pagos del,Campo de Borja,2021.0,4.118,1.0,Great Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,9.0,21.0,"Vinos DivertidosCamino A Pardos Garnacha Viñas Viejas 80 Old Vines 2022Calatayud,EspañaGreat Value4,1384 valoraciones12,90 €",https://www.vivino.com/vinos-divertidos-camino-a-pardos-garnacha-vinas-viejas-80-old-vines/w/9894859?year=2022&price_id=39306606,12.9,,,Vinos DivertidosCamino,Calatayud,2022.0,4.138,4.0,Great Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:58:39,20250716_125646,Vinos Baratos €5-15,10.0,21.0,"ValquejigosoCarpetano Garnacha 2019Madrid,EspañaGreat Value4,1147 valoraciones14,95 €",https://www.vivino.com/valquejigoso-carpetano-garnacha/w/11316262?year=2019&price_id=31843204,14.95,,,ValquejigosoCarpetano Garnacha,Madrid,2019.0,4.114,7.0,Great Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
2025-07-16 12:59:07,20250716_125646,Vinos Medios €15-30,1.0,31.0,"Bodegas AragonesasTerroir Nabulé Garnacha 2019Campo de Borja,EspañaGood Value4,2194 valoraciones25,95 €",https://www.vivino.com/bodegas-aragonesas-terroir-nabule-garnacha/w/10090417?year=2019&price_id=38582029,25.95,,,Bodegas AragonesasTerroir,Campo de Borja,2019.0,4.219,4.0,Good Value,Tinto,Disponible,vivino_diversificado_20250716_130100.csv,,,
