timestamp,session_id,categoria_busqueda,posicion,posicion_global,nombre_completo,url,precio_eur,precio_original,descuento,bodega,region,año,rating,num_reviews,categoria_calidad,tipo_vino,disponibilidad
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,1,1,"MorcaGarnacha 2019Campo de Borja,EspañaGreat Value4,5265 valoraciones34,95 €",https://www.vivino.com/morca-garnacha/w/5248344?year=2019&price_id=29492416,34.95,,,MorcaGarnacha 2019Campo,Campo de Borja,2019,4.526,5,Great Value,Tinto,Disponible
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,2,1,"Bodegas AtecaAtteca Armas Garnacha Old Vines 2021Calatayud,EspañaGreat Value4,4181 valoraciones34,20 €4,5Excelente opción muy recomendableIker Calderon (354 valoraciones)May 5, 2025503Cargar comentarios anteriores",https://www.vivino.com/bodegas-ateca-atteca-armas-garnacha-old-vines/w/1204799?year=2021&price_id=34022126,34.2,,,Bodegas AtecaAtteca,Calatayud,2021,4.418,1,Great Value,Tinto,Disponible
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,3,1,"AtalayaAlaya Tierra 2022Almansa,EspañaAmazing Value!4,4410 valoraciones23,35 €",https://www.vivino.com/atalaya-almansa-alaya-tierra-almansa/w/3772025?year=2022&price_id=37783562,23.35,,,AtalayaAlaya Tierra,España,2022,4.441,,Amazing Value,Tinto,Disponible
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,4,1,"Ahorra7%MorcaGodina Garnacha 2022Campo de Borja,EspañaAmazing Value!4,4203 valoraciones18,50 €19,90 €",https://www.vivino.com/morca-godina-garnacha/w/5056642?year=2022&price_id=37554208,18.5,,,Ahorra7%MorcaGodina Garnacha,Campo de Borja,2022,4.42,3,Amazing Value,Tinto,Disponible
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,5,1,"MorcaGarnacha 2022Campo de Borja,EspañaGreat Value4,4114 valoraciones32,60 €",https://www.vivino.com/morca-garnacha/w/5248344?year=2022&price_id=38720217,32.6,,,MorcaGarnacha 2022Campo,Campo de Borja,2022,4.411,4,Great Value,Tinto,Disponible
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,6,1,"MorcaGarnacha 2021Campo de Borja,EspañaGreat Value4,4247 valoraciones36,85 €",https://www.vivino.com/morca-garnacha/w/5248344?year=2021&price_id=35337191,36.85,,,MorcaGarnacha 2021Campo,Campo de Borja,2021,4.424,7,Great Value,Tinto,Disponible
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,7,1,"Bodegas AtecaAtteca Armas Garnacha Old Vines 2022Calatayud,EspañaGreat Value4,43465 valoraciones36,70 €",https://www.vivino.com/bodegas-ateca-atteca-armas-garnacha-old-vines/w/1204799?year=2022&price_id=39124003,36.7,,,Bodegas AtecaAtteca,Calatayud,2022,4.4346,5,Great Value,Tinto,Disponible
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,8,1,"Alto MoncayoGarnacha 2021Campo de Borja,EspañaGood Value4,3232 valoraciones34,90 €",https://www.vivino.com/alto-moncayo-garnacha/w/98782?year=2021&price_id=35645848,34.9,,,Alto MoncayoGarnacha,Campo de Borja,2021,4.323,2,Good Value,Tinto,Disponible
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,9,1,"AtalayaAlaya Tierra 2021Almansa,EspañaGreat Value4,31006 valoraciones31,95 €",https://www.vivino.com/atalaya-almansa-alaya-tierra-almansa/w/3772025?year=2021&price_id=33111856,31.95,,,AtalayaAlaya Tierra,España,2021,4.31,6,Great Value,Tinto,Disponible
2025-07-16 12:57:43,20250716_125646,Ribera del Duero,10,1,"Comando GRozas Vino de Pueblo 2023Madrid,EspañaGood Value4,259 valoraciones44,98 €",https://www.vivino.com/comando-g-rozas-vino-de-pueblo-comunidad-de-madrid/w/12134241?year=2023&price_id=38488243,44.98,,,Comando GRozas,Madrid,2023,4.25,9,Good Value,Tinto,Disponible
