timestamp,session_id,pagina,posicion_pagina,posicion_global,nombre_completo,url,precio_eur,precio_original,descuento,bodega,region,año,rating,num_reviews,categoria_calidad,tipo_vino,disponibilidad
2025-07-16 12:46:18,20250716_124554,1,1,1,"Viñas del VeroSecastilla 2016Somontano,EspañaCosecha más antigua disponible4,151 valoraciones33,90 €",https://www.vivino.com/vinas-del-vero-secastilla/w/1158235?year=2016&price_id=25421069,33.9,,,Viñas,Somontano,2016,4.15,1,Cosecha más antigua,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,2,1,"AltavinsVinerel.Les Garnatxa Peluda 2023Terra Alta,EspañaGood Value4,146 valoraciones22,25 €",https://www.vivino.com/altavins-vinerel-les-garnatxa-peluda/w/11471752?year=2023&price_id=39308500,22.25,,,AltavinsVinerel.Les,Terra Alta,2023,4.14,6,Good Value,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,3,1,"Cuevas de AromOS Cantals 2021Campo de Borja,EspañaGood Value4,1427 valoraciones42,21 €",https://www.vivino.com/cuevas-de-arom-os-cantals/w/5796944?year=2021&price_id=34502822,42.21,,,Cuevas,Campo de Borja,2021,4.142,7,Good Value,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,4,1,"Bodegas AtecaAtteca Garnacha (Old Vines) 2020Calatayud,EspañaGreat Value4,1608 valoraciones14,46 €",https://www.vivino.com/bodegas-ateca-atteca-garnacha-old-vines/w/1183710?year=2020&price_id=38449392,14.46,,,Bodegas,Calatayud,2020,4.16,8,Great Value,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,5,1,"Soto y ManriqueAlto de la Estrella 2021Castilla y León,España4,1118 valoraciones32 €",https://www.vivino.com/soto-y-manrique-alto-de-la-estrella/w/9110384?year=2021&price_id=38500087,32.0,,,Soto,Castilla y León,2021,4.111,8,,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,6,1,"Bodegas Paco MuleroGarnacha 2021Calatayud,EspañaGreat Value4,191 valoraciones10,90 €",https://www.vivino.com/bodegas-paco-mulero-garnacha/w/8995715?year=2021&price_id=35422551,10.9,,,Bodegas,Calatayud,2021,4.19,1,Great Value,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,7,1,"BrecaGarnacha 2021Calatayud,EspañaGreat Value4,182 valoraciones14,10 €",https://www.vivino.com/breca-garnacha-calatayud/w/1370945?year=2021&price_id=38561559,14.1,,,BrecaGarnacha,Calatayud,2021,4.18,2,Great Value,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,8,1,"Vinyes TortugaHunky Dory 2019Cataluña,EspañaGood Value4,188 valoraciones43,95 €",https://www.vivino.com/vinyes-tortuga-hunky-dory/w/7450443?year=2019&price_id=33825942,43.95,,,Vinyes,Cataluña,2019,4.18,8,Good Value,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,9,1,"ParticularGarnacha Viñas Centenarias 2022Cariñena,EspañaGreat Value4,12548 valoraciones14,80 €",https://www.vivino.com/particular-es-garnacha-vinas-centenarias/w/2338003?year=2022&price_id=38799328,14.8,,,ParticularGarnacha,Cariñena,2022,4.1254,8,Great Value,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,10,1,"Gil PejenauteTabuca 2023Campo de Borja,EspañaGreat Value4,1318 valoraciones20,50 €",https://www.vivino.com/gil-pejenaute-tabuca/w/10428248?year=2023&price_id=39171060,20.5,,,PejenauteTabuca,Campo de Borja,2023,4.131,8,Great Value,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,11,1,"Terra RemotaCamino 2021Empordà,España4,1147 valoraciones38,80 €",https://www.vivino.com/terra-remota-camino/w/1222476?year=2021&price_id=38859603,38.8,,,Terra,Empordà,2021,4.114,7,,Tinto,Disponible
2025-07-16 12:46:18,20250716_124554,1,12,1,"Pagos del MoncayoPrados Colección Garnacha 2021Campo de Borja,EspañaGreat Value4,1181 valoraciones14,90 €",https://www.vivino.com/pagos-del-moncayo-prados-coleccion-garnacha/w/5409799?year=2021&price_id=34084953,14.9,,,Pagos,Campo de Borja,2021,4.118,1,Great Value,Tinto,Disponible
